"","consentResp.keys","consentResp.rt","Proceed.keys","Proceed.rt","AttnChkResp.keys","AttnChkResp.corr","AttnChkResp.rt","Attention.thisRepN","Attention.thisTrialN","Attention.thisN","Attention.thisIndex","Attention.ran","AttentionQuestion","AttentionAnswer","PROLIFIC_PID","Age","Sex","Handedness","date","expName","psychopyVersion","OS","frameRate","browser","xResolution","yResolution","proceed1.keys","proceed1.rt","InstRep.thisRepN","InstRep.thisTrialN","InstRep.thisN","InstRep.thisIndex","InstRep.ran","SSResp.keys","SSResp.corr","SSResp.rt","headstart.thisRepN","headstart.thisTrialN","headstart.thisN","headstart.thisIndex","headstart.ran","Phase","Condition","Stim1","Stim2","Colour","CorrectAnswer","Validity","SSPhase.thisRepN","SSPhase.thisTrialN","SSPhase.thisN","SSPhase.thisIndex","SSPhase.ran","NextPhaseResp.keys","NextPhaseResp.rt","AttentionTask2.thisRepN","AttentionTask2.thisTrialN","AttentionTask2.thisN","AttentionTask2.thisIndex","AttentionTask2.ran","proceed2.keys","proceed2.rt","InstRep2.thisRepN","InstRep2.thisTrialN","InstRep2.thisN","InstRep2.thisIndex","InstRep2.ran","PrestimulusDuration","PreResp.keys","PreResp.corr","Response.keys","Response.corr","Response.rt","Prac.thisRepN","Prac.thisTrialN","Prac.thisN","Prac.thisIndex","Prac.ran","ExpProceed.keys","ExpProceed.rt","PracRepeat.thisRepN","PracRepeat.thisTrialN","PracRepeat.thisN","PracRepeat.thisIndex","PracRepeat.ran","Phase2.thisRepN","Phase2.thisTrialN","Phase2.thisN","Phase2.thisIndex","Phase2.ran","Continue_2.keys","Phase3_1.thisRepN","Phase3_1.thisTrialN","Phase3_1.thisN","Phase3_1.thisIndex","Phase3_1.ran","Continue_2.rt","Phase3_2.thisRepN","Phase3_2.thisTrialN","Phase3_2.thisN","Phase3_2.thisIndex","Phase3_2.ran","LaskBlockproceed.keys","LaskBlockproceed.rt","AwareResponse","Answer.text","awarenext.keys","awarenext.rt","Awareness.thisRepN","Awareness.thisTrialN","Awareness.thisN","Awareness.thisIndex","Awareness.ran","AwareQuestion","AwareAnswer","Performance","Endresp.keys","Endresp.rt","debriefend.keys","debriefend.rt","STUDY_ID","SESSION_ID","Continue.keys","Continue.rt"
"1","j",61.5537,"space",37.1514,"b",1,1.1656,0,0,0,1,1,"What key should you press if you see the word ""fair""?","b","luna",22,"female","right","2021-08-30_12h31.59.568","Experiment1_SPC","2021.2.3","Win32",59.39653124,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,"t",1,0.5563,0,1,1,0,1,"What key should you press if you see the word ""warm""?","t","luna",22,"female","right","2021-08-30_12h31.59.568","Experiment1_SPC","2021.2.3","Win32",59.39653124,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"luna",22,"female","right","2021-08-30_12h31.59.568","Experiment1_SPC","2021.2.3","Win32",59.39653124,"Chrome",1280,720,"space",12.1838,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"luna",22,"female","right","2021-08-30_12h31.59.568","Experiment1_SPC","2021.2.3","Win32",59.39653124,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,"[""t"",""b""]",0,"[0.4555000000000007,0.641900000000021]",0,0,0,7,1,"1","Headstart","high","fair","black","b","valid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"luna",22,"female","right","2021-08-30_12h31.59.568","Experiment1_SPC","2021.2.3","Win32",59.39653124,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,"[""t""]",1,"[0.45130000000000337]",0,1,1,4,1,"1","Headstart","even","warm","black","t","valid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"luna",22,"female","right","2021-08-30_12h31.59.568","Experiment1_SPC","2021.2.3","Win32",59.39653124,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,"[""b""]",1,"[0.5185999999999638]",0,2,2,1,1,"1","Headstart","high","fair","black","b","valid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"luna",22,"female","right","2021-08-30_12h31.59.568","Experiment1_SPC","2021.2.3","Win32",59.39653124,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,"[""t""]",1,"[0.40059999999996876]",0,3,3,6,1,"1","Headstart","even","warm","black","t","valid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"luna",22,"female","right","2021-08-30_12h31.59.568","Experiment1_SPC","2021.2.3","Win32",59.39653124,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,"[""b""]",1,"[0.3680999999999699]",0,4,4,9,1,"1","Headstart","high","fair","black","b","valid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"luna",22,"female","right","2021-08-30_12h31.59.568","Experiment1_SPC","2021.2.3","Win32",59.39653124,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,"[""t""]",1,"[0.6189999999999998]",0,5,5,2,1,"1","Headstart","even","warm","black","t","valid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"luna",22,"female","right","2021-08-30_12h31.59.568","Experiment1_SPC","2021.2.3","Win32",59.39653124,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,"[""t""]",1,"[0.4359999999999786]",0,6,6,8,1,"1","Headstart","even","warm","black","t","valid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
